표적,시각,알수,현재,전체
nolja_0803,3789,2,99,107
nolja_0803,3790,2,98,107
nolja_0803,3791,2,97,107
nolja_0803,3792,2,85,107
nolja_0803,3794,1,93,107
nolja_0803,3795,2,92,107
nolja_0803,3796,1,91,107
nolja_0803,3797,2,80,107
nolja_0803,3800,2,86,107
nolja_0803,3801,1,85,107
nolja_0803,3802,2,84,107
nolja_0803,3805,1,80,107
nolja_0803,3806,2,79,107
nolja_0803,3807,2,78,107
nolja_0803,3808,2,76,107
nolja_0803,3810,2,74,107
nolja_0803,3811,1,73,107
nolja_0803,3812,2,71,107
nolja_0803,3814,2,69,107
nolja_0803,3815,1,68,107
nolja_0803,3816,2,67,107
nolja_0803,3818,2,64,107
nolja_0803,3819,2,63,107
nolja_0803,3820,2,62,107
nolja_0803,3821,2,60,107
nolja_0803,3825,2,56,107
nolja_0803,3826,2,55,107
nolja_0803,3827,1,64,107
nolja_0803,3828,1,53,107
nolja_0803,3968,1,54,107
nolja_0803,3969,2,54,107
nolja_0803,3970,1,54,107
nolja_0803,3971,2,54,107
nolja_0803,4128,1,53,107
nolja_0803,4129,2,53,107
nolja_0803,4130,2,53,107
nolja_0803,4131,2,53,107
nolja_0803,4132,2,53,107
nolja_0803,4133,1,53,107
nolja_0803,4134,2,53,107
nolja_0803,4135,2,53,107
nolja_0803,4136,2,53,107
nolja_0803,4137,2,53,107
nolja_0803,4138,1,53,107
nolja_0803,4139,1,53,107
nolja_0803,4140,2,53,107
nolja_0803,4141,2,53,107
nolja_0803,4142,2,53,107
nolja_0803,4143,1,53,107
nolja_0803,4144,2,53,107
nolja_0803,4145,2,53,107
nolja_0803,4146,2,53,107
nolja_0803,4147,2,53,107
nolja_0803,4148,1,53,107
nolja_0803,4149,2,53,107
nolja_0803,4150,2,53,107
nolja_0803,4151,2,53,107
nolja_0803,4152,2,53,107
nolja_0803,4153,1,53,107
nolja_0803,4154,2,53,107
nolja_0803,4155,2,53,107
nolja_0803,4156,2,53,107
nolja_0803,4157,2,53,107
nolja_0803,4158,1,53,107
nolja_0803,4159,2,53,107
nolja_0803,4160,2,53,107
nolja_0803,4161,2,53,107
nolja_0803,4162,2,53,107
nolja_0803,4163,1,53,107
nolja_0803,4164,2,53,107
nolja_0803,4168,2,2,176
nolja_0803,4171,1,21,176
nolja_0803,4173,2,21,172
nolja_0803,4175,2,94,176
nolja_0803,4180,1,77,176
nolja_0803,4183,1,51,175
nolja_0803,4188,2,119,172
nolja_0803,4190,1,126,176
nolja_0803,4191,2,126,176
nolja_0803,4192,2,126,176
nolja_0803,4193,2,126,176
nolja_0803,4194,2,126,176
nolja_0803,4195,1,126,176
nolja_0803,4196,2,126,176
nolja_0803,4197,2,126,176
nolja_0803,4198,2,126,176
nolja_0803,4199,2,126,176
nolja_0803,4200,1,126,176
nolja_0803,4201,2,126,176
nolja_0803,4202,2,126,176
nolja_0803,4203,2,126,176
nolja_0803,4204,2,126,176
nolja_0803,4205,1,126,176
nolja_0803,4206,2,126,176
nolja_0803,4207,2,126,176
nolja_0803,4208,2,126,176
nolja_0803,4209,2,126,176
nolja_0803,4210,1,126,176
nolja_0803,4211,2,126,176
nolja_0803,4212,2,126,176
nolja_0803,4213,2,126,176
nolja_0803,4214,2,126,176
nolja_0803,4215,1,126,176
nolja_0803,4216,2,126,176
nolja_0803,4217,2,126,176
nolja_0803,4831,11,3,17
nolja_0803,4832,11,3,17
nolja_0803,4833,12,3,17
nolja_0803,4834,12,3,17
nolja_0803,4835,12,3,17
nolja_0803,4836,11,3,17
nolja_0803,4837,11,3,17
nolja_0803,4838,10,4,17
nolja_0803,5319,9,4,17
nolja_0803,5334,10,2,131
nolja_0803,5338,10,4,131
nolja_0803,5340,10,16,131
nolja_0803,5341,10,16,131
nolja_0803,5342,9,16,131
nolja_0803,5344,8,30,131
nolja_0803,5345,10,32,131
nolja_0803,5348,9,47,131
nolja_0803,5350,8,61,131
nolja_0803,5352,7,66,131
nolja_0803,5356,7,82,131
nolja_0803,5359,11,103,131
nolja_0803,5360,10,104,131
nolja_0803,5363,8,118,131
nolja_0803,5596,12,3,17
nolja_0803,5597,9,8,17
nolja_0803,5598,10,11,17
nolja_0803,5860,10,11,17
nolja_0803,5861,9,11,17
nolja_0803,5862,9,11,17
nolja_0803,5863,9,11,17
nolja_0803,5864,10,11,17
nolja_0803,5865,10,11,17
nolja_0803,5866,9,11,17
nolja_0803,5867,9,11,17
nolja_0803,5868,9,11,17
nolja_0803,5869,10,11,17
nolja_0803,5870,10,11,17
nolja_0803,5871,9,11,17
nolja_0803,5872,9,11,17
nolja_0803,5873,9,11,17
nolja_0803,5874,10,11,17
nolja_0803,5875,10,11,17
nolja_0803,5876,9,11,17
nolja_0803,5877,9,11,17
nolja_0803,5878,9,11,17
nolja_0803,5879,10,11,17
nolja_0803,5880,10,11,17
nolja_0803,5881,9,11,17
nolja_0803,5882,9,11,17
nolja_0803,5883,9,11,17
nolja_0803,5884,10,11,17
nolja_0803,5885,10,11,17
nolja_0803,5886,9,11,17
nolja_0803,5887,9,11,17
nolja_0803,5888,9,11,17
nolja_0803,5889,10,11,17
nolja_0803,5890,10,11,17
nolja_0803,5891,9,11,17
nolja_0803,5892,9,11,17
nolja_0803,5893,9,11,17
nolja_0803,5894,10,11,17
nolja_0803,5895,10,11,17
nolja_0803,5896,9,11,17
nolja_0803,5901,2,1,120
nolja_0803,5903,2,117,120
nolja_0803,5904,2,175,175
nolja_0803,5905,2,175,175
nolja_0803,5911,9,129,132
nolja_0803,5914,9,108,132
nolja_0803,5916,10,101,132
nolja_0803,5918,7,114,132
nolja_0803,5919,8,113,132
nolja_0803,6123,8,112,131
nolja_0803,6124,10,111,131
nolja_0803,6127,9,86,131
nolja_0803,6128,10,31,131
nolja_0803,6742,12,3,17
nolja_0803,6749,9,2,132
nolja_0803,6751,13,14,132
nolja_0803,6752,11,69,132
nolja_0803,6753,9,94,132
nolja_0803,6756,10,62,132
nolja_0803,6760,9,89,132
nolja_0803,6762,7,91,132
nolja_0803,7006,9,94,132
nolja_0803,7007,9,94,132
nolja_0803,7008,9,94,132
nolja_0803,7009,8,94,132
nolja_0803,7010,8,94,132
nolja_0803,7011,9,94,132
nolja_0803,7014,7,93,132
nolja_0803,7015,9,39,132
nolja_0803,7020,7,69,132
nolja_0803,7263,10,60,131
nolja_0803,7264,10,60,131
nolja_0803,7265,9,60,131
nolja_0803,7266,10,60,131
nolja_0803,7267,10,60,131
nolja_0803,7268,9,69,131
nolja_0803,7271,8,44,131
nolja_0803,7272,11,90,131
nolja_0803,7278,9,117,131
nolja_0803,7564,13,3,19
nolja_0803,7565,13,3,19
nolja_0803,7571,12,132,132
nolja_0803,7574,11,117,132
nolja_0803,7577,11,105,132
nolja_0803,7582,7,78,132
nolja_0803,7583,6,77,132
nolja_0803,7584,6,22,132
nolja_0803,7590,11,90,132
nolja_0803,7594,8,34,132
nolja_0803,7826,8,26,132
nolja_0803,7827,8,26,132
nolja_0803,7828,9,26,132
nolja_0803,7830,9,25,132
nolja_0803,7832,8,24,132
nolja_0803,7833,8,24,132
nolja_0803,7834,7,24,132
nolja_0803,7835,8,24,132
nolja_0803,8076,8,24,132
nolja_0803,8077,7,24,132
nolja_0803,8078,8,24,132
