level,songId,stepId,title,titleEn,artistEn,difficulty,effectiveLevel,voteDifficulty,voteStd,convergenceScore,specialRatio,special,defined,clearCount,totalCount,realClearCount,realTotalCount,breakOnRate,totalBreakOnRate,bpmMin,bpmMax,stepArtist,versionIdOfChart,isPremium,isRemix,deleted,disabled,tagIds,tagVals,imageUrl,youtubeUrl,youtubeUrl3rd
S19,421,2014,미션 파서블,Mission Possible,BanYa,S19,20.235298,1.25,0.0,0.902,0.2,False,True,610,644,6,11,0.5455,0.9472,124,124,ANDAMIRO & EHNE,1,False,False,False,False,5|14|25|18|9,4.333|4.167|2.667|1.250|0.333,https://piugame.com/data/song_img2/c942f05aba07ff630a68134d4561862e.png?v=20260701145646,,https://www.youtube.com/watch?v=Md9W8wXNCk4
S19,422,2015,체이스 미 - FULL SONG -,Chase Me - FULL SONG -,Dreamcatcher,S19,19.575616,0.375,0.125,0.519,0.0,False,True,414,483,6,26,0.2308,0.8571,200,200,NIMGO,5,False,False,False,False,5|14|0|1|2,0.500|0.500|0.000|0.000|0.000,https://piugame.com/data/song_img2/9432dea334959d9f9976b6462cf26154.png?v=20260701145646,,https://www.youtube.com/watch?v=l5OU4NhDGo8
S19,282,2020,시그너스,Cygnus,nato,S19,18.783114,0.0,0.0,0.764,0.0,False,True,1004,1059,80,116,0.6897,0.9481,188,188,SUNNY,6,False,False,False,False,2|5|6|0|1,4.500|1.000|0.500|0.000|0.000,https://piugame.com/data/song_img2/d3bb74a1485528e8428315183eaa1544.png?v=20260701145646,https://www.youtube.com/watch?v=RTXcyACk6rg,https://www.youtube.com/watch?v=U4feYFwsEbc
S19,424,2021,금혼식,La Cinquantaine,Pory,S19,19.016411,0.0,0.0,0.764,0.0,False,True,723,813,17,63,0.2698,0.8893,164,164,NIMGO,6,False,False,False,False,2|5|6|0|1,1.333|1.333|0.333|0.000|0.000,https://piugame.com/data/song_img2/d988b4007f854cb5291f4a92473f913b.png?v=20260701145646,https://www.youtube.com/watch?v=9Rvb72HpoHQ,https://www.youtube.com/watch?v=VjUnK51caDg
S19,353,2025,데인저 & 데인저,Danger & Danger,Cranky,S19,19.508795,0.5,0.0,0.6,0.0,False,True,640,689,2,14,0.1429,0.9289,155,155,FEFEMZ,6,False,False,False,False,2|0|1|3|4,2.000|0.000|0.000|0.000|0.000,https://piugame.com/data/song_img2/1234e492a6a6edd6278007705181d137.png?v=20260701145646,https://www.youtube.com/watch?v=iUaKTb_MOSM,https://www.youtube.com/watch?v=J1uRWrJIY9A
S19,113,2057,설탕음모론,Sugar Conspiracy Theory,MAX,S19,19.885383,0.833,0.118,0.622,0.0,False,True,564,626,5,13,0.3846,0.901,170,170,NIMGO & ENVYTIC,4,False,False,False,False,0|2|4|5|1,0.667|0.667|0.333|0.333|0.000,https://piugame.com/data/song_img2/0bdfc5f0e5b53f865872306f51fc0f32.png?v=20260701145646,,https://www.youtube.com/watch?v=yEJCE2NLJ9I
S19,109,2058,스콜피온 킹,Scorpion King,r300k,S19,19.559245,0.75,0.0,0.658,0.0,False,True,660,687,10,20,0.5,0.9607,113,113,NIMGO,4,False,False,False,False,2|10|23|4|5,1.583|1.583|0.333|0.250|0.250,https://piugame.com/data/song_img2/2d8d5d9f38d10d9b8510159a9f1b3191.png?v=20260701145646,,https://www.youtube.com/watch?v=LajM9kQxlDs
S19,332,2071,디스트릭트 1,District 1,MAX,S19,19.877083,0.75,0.204,0.484,0.0,False,True,679,721,4,19,0.2105,0.9417,158,158,WINDFORCE,6,False,False,False,False,2|6|4|0|1,0.833|0.833|0.333|0.000|0.000,https://piugame.com/data/song_img2/177b37fa13e76d6d517397c992862ea2.png?v=20260701145646,https://www.youtube.com/watch?v=h4WCoYtGM6A,https://www.youtube.com/watch?v=H19pr3jFz4o
S19,305,2104,팬텀 -인터메조-,Phantom -Intermezzo-,Banya Production,S19,20.385938,1.25,0.0,0.902,0.0,False,True,471,527,1,10,0.1,0.8937,140,140,BPM,3,False,False,False,False,2|4|6|17|10,3.417|2.767|2.750|2.167|1.100,https://piugame.com/data/song_img2/4d0b34c7c5b03e6a382b30f240af735c.png?v=20260701145646,,https://www.youtube.com/watch?v=2XgQcxnsRAM
S19,362,2155,비,Bee,BanYa,S19,19.358903,0.417,0.118,0.551,0.0,False,True,632,657,7,14,0.5,0.9619,160,160,BPM,1,False,False,False,False,6|2|5|0|19,1.200|0.700|0.700|0.200|0.200,https://piugame.com/data/song_img2/53bdf8102ac3b575019a2b42c743d92e.png?v=20260701145646,,https://www.youtube.com/watch?v=WLidEJky8Jg
S19,307,2194,레이브 언틸 디 어스 엔드,Rave'til the earth's end,5argon,S19,19.975671,1.0,0.0,0.764,0.0,False,True,533,570,4,12,0.3333,0.9351,160,160,OSING & WINDFORCE,5,False,False,False,False,4|2|6|21|5,1.250|1.083|1.083|0.333|0.250,https://piugame.com/data/song_img2/667bc06cf24139a395f32e72ae65e7f4.png?v=20260701145646,,https://www.youtube.com/watch?v=3e_gsB4LnTw
S19,375,2237,포스 오브 라,Force of Ra,memme,S19,19.576875,0.583,0.236,0.511,0.0,False,True,524,564,6,18,0.3333,0.9291,180,180,NIMGO,4,False,False,False,False,2|4|0|1|3,0.500|0.500|0.000|0.000|0.000,https://piugame.com/data/song_img2/e53b9b8ba9b687630f6b04147e7e08f0.png?v=20260701145646,,https://www.youtube.com/watch?v=rIbWoSUuK5Q
S19,410,2245,싸이클링!,Cycling!,Yamajet,S19,19.143525,0.25,0.0,0.658,0.0,False,True,749,784,18,37,0.4865,0.9554,220,220,MINAMI,6,False,False,False,False,5|14|0|1|2,3.000|2.000|0.000|0.000|0.000,https://piugame.com/data/song_img2/466cf551102f6895e0254a767acf8bc9.png?v=20260701145646,,https://www.youtube.com/watch?v=E2Hh_SuYYzA
S19,118,2254,마왕,The Devil,Banya Production,S19,19.347993,0.442,0.144,0.081,0.7647058823529411,True,True,570,631,7,23,0.3043,0.9033,130,240,BPM,3,False,False,False,False,14|5|15|0|2,3.417|1.667|1.167|0.250|0.250,https://piugame.com/data/song_img2/f10447d5fb8e319b1154f0e940c16358.png?v=20260701145646,,https://www.youtube.com/watch?v=EHsYXnrGdgk
S19,360,2255,레퀴엠,Requiem,MAX,S19,19.596103,0.562,0.108,0.57,0.0,False,True,523,555,4,10,0.4,0.9423,160,160,CONRAD,4,False,False,False,False,2|6|19|0|5,0.833|0.833|0.667|0.333|0.333,https://piugame.com/data/song_img2/81adb87dd9e7243103ac0ee70a98e739.png?v=20260701145646,,https://www.youtube.com/watch?v=PXieBWesceU
S19,182,2288,인디스트럭터블,Indestructible,Matduke,S19,19.521047,0.5,0.0,0.6,0.0,False,True,660,710,12,31,0.3871,0.9296,174,174,AEVILUX,6,False,False,False,False,4|0|5|2|6,1.083|0.583|0.583|0.500|0.250,https://piugame.com/data/song_img2/ae21644e1e271575dfd9a423bb808eef.png?v=20260701145646,https://www.youtube.com/watch?v=53bgK-GctFA,https://www.youtube.com/watch?v=NQ4B7AFJQak
S19,264,2299,아발란치,Avalanche,memme,S19,19.818344,0.75,0.0,0.658,0.0,False,True,585,633,6,16,0.375,0.9242,175,175,HP,4,False,False,False,False,0|6|2|1|3,2.333|1.333|0.333|0.000|0.000,https://piugame.com/data/song_img2/c55b5035aa594ffa59dd1a99aef918c8.png?v=20260701145646,,https://www.youtube.com/watch?v=qDat5R4Zirw
S19,369,2353,아리랑,Arirang,Banya Production,S19,19.234615,0.5,0.0,0.6,0.0,False,True,522,563,2,14,0.1429,0.9272,160,160,BPM,3,False,False,False,False,2|12|0|1|3,1.500|0.500|0.000|0.000|0.000,https://piugame.com/data/song_img2/8d55fa3101649d5beb9ee7921b2ea46c.png?v=20260701145646,,https://www.youtube.com/watch?v=b2y0Xm77QSc
S19,377,2376,스타 커맨드,Star Command,Zircon,S19,19.492931,0.5,0.0,0.4,0.25,False,True,641,661,12,22,0.5455,0.9697,155,155,HARU-KAZE & Criss,3,False,False,False,False,5|14|23|24|18,2.000|1.833|1.167|0.667|0.333,https://piugame.com/data/song_img2/6a06a2eec3aba4df950aa666233999b6.png?v=20260701145646,,https://www.youtube.com/watch?v=h5fsDH8GxzQ
S19,451,2380,오르비트 스테빌라이저,Orbit Stabilizer,DM Ashura,S19,19.400782,0.5,0.0,0.6,0.0,False,True,595,612,12,16,0.75,0.9722,155,155,NIMGO,6,False,False,False,False,5|0|6|2|1,1.500|1.000|1.000|0.500|0.000,https://piugame.com/data/song_img2/b68addfd9b7eb9c646657ee4f215e799.png?v=20260701145646,https://www.youtube.com/watch?v=SEDWPUCxE40,https://www.youtube.com/watch?v=xDYee8XWu2c
